Speaker,Gender,Word,f0,F1,F2,F3,Duration,HasSuffix,FollowingPlace,IsSuffixBack,PrecedingPlace
4,female,biz,144.5398325,349.6621542,2190.657995,3229.627873,0.080387102,TRUE,coronal,0,labial
4,female,biz,195.443688,401.87367389999997,2111.43891,3376.338813,0.058176758,FALSE,coronal,0,labial
5,female,biz,192.9460781,537.3983156,1847.532865,3088.505527,0.137863216,FALSE,coronal,1,labial
5,female,biz,200.1364635,514.3902184,1813.375477,2901.990808,0.058862946,TRUE,coronal,1,labial
6,female,biz,175.4583797,329.4151779,1782.239021,3180.309793,0.072910192,TRUE,coronal,0,labial
6,female,biz,230.1332747,454.5281113,1903.709801,3184.0389,0.104581987,FALSE,coronal,0,labial
7,female,biz,191.3879144,473.7490728,1723.083834,2943.00127,0.130118091,FALSE,coronal,0,labial
7,female,biz,174.2321669,472.2601696,1835.089196,3238.695624,0.105095381,TRUE,coronal,0,labial
8,female,biz,166.5346263,447.3014686,2048.989357,3658.654768,0.075269144,TRUE,coronal,0,labial
8,female,biz,204.2665752,437.6648478,1972.181223,3342.395578,0.09553019,FALSE,coronal,0,labial
9,female,biz,214.6455008,442.785259,1931.983626,2933.327177,0.105807134,FALSE,coronal,0,labial
9,female,biz,190.9204403,382.3009839,1537.118582,1980.255549,0.063139193,TRUE,coronal,0,labial
1,female,chish,211.313633,409.3278881,2340.735345,2974.934473,0.082895851,FALSE,palatal,1,palatal
11,male,chish,119.3454492,320.4732633,1738.860919,2640.975181,0.067006055,FALSE,palatal,1,palatal
16,male,chish,121.2986999,349.6895774,1935.709879,2630.120858,0.063764415,FALSE,palatal,1,palatal
17,female,chish,268.4534447,357.5355784,2389.03768,3088.783181,0.04244498,FALSE,palatal,1,palatal
18,female,chish,175.0854174,434.2881576,2132.63642,2778.146914,0.061711359,FALSE,palatal,1,palatal
19,female,chish,198.2179816,280.9597969,2416.574037,2910.935866,0.050740495,FALSE,palatal,1,palatal
20,female,chish,319.9847997,333.0749317,2166.304679,2599.361752,0.057970379,FALSE,palatal,1,palatal
21,female,chish,--undefined--,373.5806254,2180.499835,3084.483766,0.042655753,FALSE,palatal,1,palatal
21,female,chish,--undefined--,441.1092374,2012.912544,2973.391219,0.048628112,TRUE,palatal,1,palatal
22,female,chish,--undefined--,371.9596522,2595.790893,3278.136335,0.076197638,TRUE,palatal,1,palatal
5,female,chish,226.8858088,434.2712745,2226.891028,2959.045142,0.088294419,FALSE,palatal,1,palatal
7,female,chish,204.1240439,316.8665379,2214.864033,2851.459806,0.071731768,FALSE,palatal,1,palatal
8,female,chish,237.1141422,447.8950446,2412.222364,3224.008793,0.058538812,FALSE,palatal,1,palatal
9,female,chish,202.7688281,340.9626503,2186.297227,2982.483764,0.049451543,FALSE,palatal,1,palatal
1,female,dil,191.9362404,521.0491709,1557.283131,2967.64772,0.066699737,TRUE,lateral,1,coronal
1,female,dil,218.1959336,459.0760398,1707.171917,2038.923914,0.107299577,FALSE,lateral,1,coronal
10,female,dil,175.8796483,432.4031104,1964.77938,3047.989448,0.091601061,FALSE,lateral,1,coronal
10,female,dil,190.605505,420.8994057,1934.631485,3204.469855,0.084877681,TRUE,lateral,1,coronal
11,male,dil,104.4215905,435.3192226,1235.462361,2480.564794,0.07186704,TRUE,lateral,1,coronal
11,male,dil,113.2010079,434.0797301,1511.457584,2593.399983,0.081485819,FALSE,lateral,1,coronal
12,male,dil,115.1127504,321.486951,1272.981833,2725.216619,0.054862825,TRUE,lateral,1,coronal
12,male,dil,139.8396652,342.504526,1237.560672,2731.117819,0.07525019,FALSE,lateral,1,coronal
13,male,dil,100.1873071,441.0564755,1157.885004,2614.568934,0.049230679,TRUE,lateral,1,coronal
13,male,dil,101.8673615,421.8912786,1387.7401,2689.972228,0.053950728,FALSE,lateral,1,coronal
14,female,dil,190.4302227,405.5800096,1639.009076,3024.509185,0.093503264,TRUE,lateral,1,coronal
14,female,dil,196.7098993,389.8782865,1666.996723,2956.99115,0.098770009,FALSE,lateral,1,coronal
15,male,dil,164.6240991,506.8801334,1330.695636,2772.135227,0.051729039,FALSE,lateral,1,coronal
15,male,dil,150.003635,464.0613011,1019.5319930000001,2735.894128,0.047790978,TRUE,lateral,1,coronal
16,male,dil,108.1342267,414.5602084,1119.721665,2700.659106,0.063851767,FALSE,lateral,1,coronal
16,male,dil,127.5259452,387.3384793,1104.565897,2627.461033,0.073307815,TRUE,lateral,1,coronal
17,female,dil,221.0261223,474.7774379,1241.105435,3157.259636,0.080249595,TRUE,lateral,1,coronal
17,female,dil,247.7803303,492.9288515,728.2774775,2209.218429,0.06758797,FALSE,lateral,1,coronal
18,female,dil,191.5559448,536.0360934,1882.960699,3018.585309,0.05195065,TRUE,lateral,1,coronal
18,female,dil,162.6135671,475.6059443,1149.834668,2877.27257,0.203079812,FALSE,lateral,1,coronal
19,female,dil,208.3751925,384.0194051,1794.461748,3039.145027,0.062338322,FALSE,lateral,1,coronal
20,female,dil,264.1346515,368.8382435,1548.565194,2895.696705,0.122042903,FALSE,lateral,1,coronal
20,female,dil,235.0718343,463.9064839,1417.309383,2252.996975,0.11899183,TRUE,lateral,1,coronal
21,female,dil,166.4582171,436.9384283,1620.186862,3019.411313,0.082497143,FALSE,lateral,1,coronal
22,female,dil,196.1956436,390.4048409,1573.123497,2981.441568,0.087296229,FALSE,lateral,1,coronal
22,female,dil,221.9874703,432.977663,1321.812175,2423.620164,0.071987939,TRUE,lateral,1,coronal
